0, "F - MEKO Ridsportgrossisten AB", "978263", "08-645 28 10", "Solna", "http://www.f-meko.com", "/Solna/F___MEKO_Ridsportgrossisten_AB/978263", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Karolinagatan+5%2c+17158%2c+SOLNA%2c+Sweden"
1, "F - Tjänst", "909189", "0278-142 38", "Bollnäs", "", "/Bolln%C3%A4s/F___Tj%C3%A4nst/909189", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Dalav%c3%a4gen%2c+82141%2c+BOLLN%c3%84S%2c+Sweden"
2, "F & B Food And Beverage Consulting", "130844", "036-15 25 07", "Mullsjö", "", "/Mullsj%C3%B6/F__B_Food_And_Beverage_Consulting/130844", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=V%c3%a4sterk%c3%a4rr+Str%c3%a5kenv%c3%a4gen+11%2c+56591%2c+MULLSJ%c3%96%2c+Sweden"
3, "F & B Investment AB", "2382976", "0498-65 24 00", "Fårö", "", "/F%C3%A5r%C3%B6/F__B_Investment_AB/2382976", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=F%c3%a5r%c3%b6+Sudersand+5653%2c+62467%2c+F%c3%85R%c3%96%2c+Sweden"
4, "F & B Sweden AB", "681027", "011-17 10 75", "Norrköping", "http://www.comfort-norrkoping.se", "/Norrk%C3%B6ping/F__B_Sweden_AB/681027", "mailto:info@comfort-norrkoping.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Moa+Martinsons+Gata+32%2c+60378%2c+NORRK%c3%96PING%2c+Sweden"
5, "F & C Investment AB", "510023", "", "Solna", "", "/Solna/F__C_Investment_AB/510023", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Bollgatan+11%2c+16951%2c+SOLNA%2c+Sweden"
6, "F & D Damaju Städ AB", "740057", "040-623 74 89", "Malmö", "", "/Malm%C3%B6/F__D_Damaju_St%C3%A4d_AB/740057", "mailto:fodstad@tele2.se", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=H%c3%b6jagatan+3%2c+21233%2c+MALM%c3%96%2c+Sweden"
7, "F & D Interiör AB", "2651758", "0410-424 48", "Trelleborg", "", "/Trelleborg/F__D_Interi%C3%B6r_AB/2651758", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Algatan+19%2c+23142%2c+TRELLEBORG%2c+Sweden"
8, "F & F Consulting AB", "1000620", "035-12 53 00", "Halmstad", "", "/Halmstad/F__F_Consulting_AB/1000620", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kavelv%c3%a4gen+6%2c+30225%2c+HALMSTAD%2c+Sweden"
9, "F & Fabulous", "1879324", "0340-62 64 44", "Åskloster", "", "/%C3%85skloster/F__Fabulous/1879324", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Torvv%c3%a4gen+15%2c+43296%2c+%c3%85SKLOSTER%2c+Sweden"
10, "F & G Lönnqvist - Medicinsk och Psykosocial Komp", "932492", "08-26 25 85", "Bromma", "", "/Bromma/F__G_L%C3%B6nnqvist___Medicinsk_och_Psykosocial_Komp/932492", "", "http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Runda+V%c3%a4gen+9%2c+16751%2c+BROMMA%2c+Sweden"
