0,"Publicum","157475","035-19 75 70","Halmstad","http://www.publicum.se","/Halmstad/Publicum/157475","mailto:stefan@publicum.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Box+865%2c+30118%2c+HALMSTAD%2c+Sweden"
1,"Publicum Information & Media","1409319","090-13 03 60","Umeå","","/Ume%C3%A5/Publicum_Information__Media/1409319","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%96stra+R%c3%a5dhusgatan+8+B%2c+90326%2c+UME%c3%85%2c+Sweden"
2,"Publicus Marketing AB","176163","042-12 00 40","Helsingborg","","/Helsingborg/Publicus_Marketing_AB/176163","mailto:arne.publicus@telia.com","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Stortorget+13%2c+25220%2c+HELSINGBORG%2c+Sweden"
3,"Publik Kommunikation i Stockholm AB","601025","08-660 24 07","Stockholm","http://www.publik.se","/Stockholm/Publik_Kommunikation_i_Stockholm_AB/601025","mailto:fornman.efternamn@publik.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Riddargatan+17+A%2c+11457%2c+STOCKHOLM%2c+Sweden"
4,"Publik Produkter Ulf Edman","479330","08-36 19 96","Järfälla","","/J%C3%A4rf%C3%A4lla/Publik_Produkter_Ulf_Edman/479330","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Flottiljv%c3%a4gen+6%2c+17569%2c+J%c3%84RF%c3%84LLA%2c+Sweden"
5,"Publik Strategi Sweden AB","2846205","016-811 06","Eskilstuna","","/Eskilstuna/Publik_Strategi_Sweden_AB/2846205","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Ruddammsgatan+4+B%2c+63340%2c+ESKILSTUNA%2c+Sweden"
6,"Publik Studio Jkpg AB","2706599","","Jönköping","","/J%C3%B6nk%C3%B6ping/Publik_Studio_Jkpg_AB/2706599","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%96stra+Storgatan+11%2c+55321%2c+J%c3%96NK%c3%96PING%2c+Sweden"
7,"Publik, Tony","2994623","08-740 00 11","Vårby","","/V%C3%A5rby/Publik_Tony/2994623","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Myrstuguv%c3%a4gen+59%2c+14332%2c+V%c3%85RBY%2c+Sweden"
8,"Publika Affärer i Sverige AB","2268553","","Gustavsberg","","/Gustavsberg/Publika_Aff%C3%A4rer_i_Sverige_AB/2268553","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gyllenv%c3%a4gen+8%2c+13439%2c+GUSTAVSBERG%2c+Sweden"
9,"Publika Miljöer AB","2520701","0278-100 75","Bollnäs","","/Bolln%C3%A4s/Publika_Milj%C3%B6er_AB/2520701","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=J%c3%a4rnv%c3%a4gsgatan+13%2c+82143%2c+BOLLN%c3%84S%2c+Sweden"
10,"Publikator AB","1243487","042-450 11 00","Helsingborg","","/Helsingborg/Publikator_AB/1243487","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Industrigatan+126%2c+25232%2c+HELSINGBORG%2c+Sweden"
11,"Publikey","159435","08-38 87 90","Hammenhög","","/Hammenh%C3%B6g/Publikey/159435","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Hammenh%c3%b6g+284%2c+27655%2c+HAMMENH%c3%96G%2c+Sweden"
12,"Publikmagneten AB","1879774","08-648 99 99","Enskede","","/Enskede/Publikmagneten_AB/1879774","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Solv%c3%a4gen+4%2c+12232%2c+ENSKEDE%2c+Sweden"
13,"Publiktryck AB","2231689","","Uppsala","","/Uppsala/Publiktryck_AB/2231689","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=B%c3%b6rjegatan+1+A%2c+75313%2c+UPPSALA%2c+Sweden"
14,"Publish or Perish [ p.o.p ]","1626832","08-612 51 00","Stockholm","","/Stockholm/Publish_or_Perish__pop_/1626832","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Johannesgatan+10%2c+11138%2c+STOCKHOLM%2c+Sweden"
15,"Published 4 You AB","2722213","","Stockholm","","/Stockholm/Published_4_You_AB/2722213","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Roslagsgatan+42%2c+11354%2c+STOCKHOLM%2c+Sweden"
16,"Publisher Produktion Thomas Magnusson AB","645171","08-411 33 71","Stockholm","http://www.publisher.se","/Stockholm/Publisher_Produktion_Thomas_Magnusson_AB/645171","mailto:info@publisher.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Artillerigatan+13%2c+11451%2c+STOCKHOLM%2c+Sweden"
17,"Publishing Company ten AB","1622818","08-651 24 78","Solna","","/Solna/Publishing_Company_ten_AB/1622818","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Skytteholmsv%c3%a4gen+7+D%2c+17144%2c+SOLNA%2c+Sweden"
18,"Publishing Control Intressenter Holding Sthlm AB","2350620","08-743 72 50","Stockholm","","/Stockholm/Publishing_Control_Intressenter_Holding_Sthlm_AB/2350620","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kaptensgatan+6%2c+11457%2c+STOCKHOLM%2c+Sweden"
19,"Publishingkonsult AB","324243","08-560 464 83","Stenhamra","http://www.publishingkonsult.com","/Stenhamra/Publishingkonsult_AB/324243","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Klevbergsv%c3%a4gen+167%2c+17960%2c+STENHAMRA%2c+Sweden"
20,"Publisyst","1301424","018-52 10 80","Stockholm","","/Stockholm/Publisyst/1301424","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Wallingatan+11%2c+11160%2c+STOCKHOLM%2c+Sweden"
21,"Publisyst AB","2731531","","Knivsta","","/Knivsta/Publisyst_AB/2731531","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Forsbyv%c3%a4gen+1%2c+74140%2c+KNIVSTA%2c+Sweden"
22,"Publit Sweden AB","2216973","08-642 12 00","Stockholm","","/Stockholm/Publit_Sweden_AB/2216973","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Pustegr%c3%a4nd+7%2c+11820%2c+STOCKHOLM%2c+Sweden"
23,"Pubo AB","2572956","0320-353 33","Kinna","","/Kinna/Pubo_AB/2572956","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Kyrkogatan+12%2c+51154%2c+KINNA%2c+Sweden"
24,"Pubo Fastighetsteknik AB","2665965","","Borlänge","","/Borl%C3%A4nge/Pubo_Fastighetsteknik_AB/2665965","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=%c3%84lvn%c3%a4sv%c3%a4gen+4%2c+78169%2c+BORL%c3%84NGE%2c+Sweden"
25,"Pubs Personalförening Urbanus","2602283","08-37 46 54","Vällingby","","/V%C3%A4llingby/Pubs_Personalf%C3%B6rening_Urbanus/2602283","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Multr%c3%a5gatan+108%2c+16255%2c+V%c3%84LLINGBY%2c+Sweden"
26,"Pubtech AB","382185","","Anderslöv","","/Andersl%C3%B6v/Pubtech_AB/382185","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Gr%c3%b6nbyv%c3%a4gen+44%2c+23173%2c+ANDERSL%c3%96V%2c+Sweden"
27,"Puch Magnus Olsson - i Dur & Skur","663082","","Örbyhus","","/%C3%96rbyhus/Puch_Magnus_Olsson___i_Dur__Skur/663082","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Roslagsv%c3%a4gen+21%2c+74842%2c+%c3%96RBYHUS%2c+Sweden"
28,"Puchalski, Arkadiusz","740143","08-502 194 16","Rönninge","","/R%C3%B6nninge/Puchalski_Arkadiusz/740143","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Mosshagestigen+80%2c+14451%2c+R%c3%96NNINGE%2c+Sweden"
29,"Puchalski, Slawomir","2268369","044-853 51","Vinslöv","","/Vinsl%C3%B6v/Puchalski_Slawomir/2268369","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Lommarpsv%c3%a4gen+16%2c+28834%2c+VINSL%c3%96V%2c+Sweden"
30,"Puchverkstan AB","2631512","042-738 00","Billesholm","","/Billesholm/Puchverkstan_AB/2631512","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Spinngatan+2%2c+26773%2c+BILLESHOLM%2c+Sweden"
31,"Puck","505222","018-50 82 30","Uppsala","","/Uppsala/Puck/505222","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Svartb%c3%a4cksgatan+37+A%2c+75316%2c+UPPSALA%2c+Sweden"
32,"PUCK Polymerindustrins Utvecklingscentrum","285144","","Västervik","http://www.puck.se","/V%C3%A4stervik/PUCK_Polymerindustrins_Utvecklingscentrum/285144","mailto:info@puck.se","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Baumansgatan+4%2c+59332%2c+V%c3%84STERVIK%2c+Sweden"
33,"Puck Väskor","1940026","063-51 00 21","Östersund","","/%C3%96stersund/Puck_V%C3%A4skor/1940026","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Pr%c3%a4stgatan+41%2c+83131%2c+%c3%96STERSUND%2c+Sweden"
34,"Puckelankan Silversmide","780739","","Västra frölunda","","/V%C3%A4stra_fr%C3%B6lunda/Puckelankan_Silversmide/780739","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=S%c3%b6dra+L%c3%a5ngebergsgatan+20%2c+42132%2c+V%c3%84STRA+FR%c3%96LUNDA%2c+Sweden"
35,"Pucksnack Sverige HB","3025619","","Göteborg","","/G%C3%B6teborg/Pucksnack_Sverige_HB/3025619","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sunnerviksgatan+19+B%2c+41872%2c+G%c3%96TEBORG%2c+Sweden"
36,"Puco","1001644","035-21 03 14","Halmstad","","/Halmstad/Puco/1001644","","http://maps.google.se/maps?f=q&source=s_q&hl=sv&geocode=&q=Sperlingsholmsv%c3%a4gen+19%2c+30231%2c+HALMSTAD%2c+Sweden"
